Rollno,Exam ID,AcademicYearID,semester,subjectid,SubjectName,TheoryAggGrade,TheoryAggGradePoint,TheoryCredit,ThIsPresent,PracticalAggMarks,PracticalAggGrade,PracticalAggGradePoint,PracticalCredit,PrIsPresent,SGPA,CGPA,prsgpa,prcgpa,noofbacklog
2,1092,7,4,46,HUMAN ANATOMY I,DD,4,6,1,51,DD,4,1,1,4,3.83,,,
2,1092,7,4,47,HUMAN PHYSIOLOGY I,FF,0,6,1,50,DD,4,1,1,0,0,,,
2,1092,7,4,48,HUMAN ANATOMY II,DD,4,6,1,51,DD,4,1,1,0,0,,,
2,1022,7,3,49,PSYCHOLOGY,DD,4,4,1,0,,NULL,0,0,0,0,,,
2,1092,7,4,50,EXERCISE THERAPY I,DD,4,6,1,64,CC,6,3,1,0,0,,,
2,1256,14,5,78,PATHOLOGY,CC,6,3,1,0,,0,0,0,NULL,NULL,5.24,4.82,0
2,1256,14,5,79,MICROBIOLOGY,FF,0,3,1,0,,0,0,0,NULL,NULL,2.76,3.12,3
2,1256,14,5,80,KINESIOLOGY,DD,4,5,1,28,CD,5,1,1,NULL,NULL,5.15,4.89,1
2,1256,14,5,81,CLINICAL TRAINING,,0,0,0,83,AA,10,4,1,NULL,NULL,9.03,8.83,0
2,1256,14,5,82,GENERAL MEDICINE,DD,4,6,1,0,,0,0,0,NULL,NULL,6.21,5.54,0
2,1256,14,5,83,COMPUTER APPLICATIONS,BC,7,1,1,44,AA,10,1,1,5.55,5.31,4.85,5.2,0
2,1330,14,6,84,HUMAN PHYSIOLOGY II,DD,4,6,1,50,DD,4,1,NULL,NULL,NULL,0.84,0.84,1
2,1330,14,6,85,COMPUTER APPLICATIONS,CD,5,1,1,30,CC,6,1,1,4.41,4.33,4.33,4.29,2
2,1330,14,6,86,CLINICAL TRAINING,,0,0,0,65,BC,7,6,1,NULL,NULL,5.73,5.77,0
2,1330,14,6,87,PHYSIOTHERAPY IN GERIATRIC & HAND CONDITIONS,CD,5,3,1,30,CC,6,1,1,NULL,NULL,4.89,4.9,0
2,1330,14,6,88,PHYSIOTHERAPY IN CARDIORESPIRATORY CONDITIONS,DD,4,4,1,45,FF,0,2,1,NULL,NULL,5.27,4.76,2
2,1256,14,5,89,CLINICAL TRAINING,,0,0,0,68,BC,7,6,1,NULL,NULL,5.42,5.86,0
2,1330,14,6,90,CLINICAL NEUROLOGY & PSYCHIATRY,BC,7,4,1,0,,0,0,0,NULL,NULL,8.25,7.83,0
2,1546,30,7,449,CLINICAL NEUROLOGY & PSYCHIATRY,CD,5,4,1,0,,0,0,0,NULL,NULL,5.94,5.24,0
2,1546,30,7,452,"CLINICAL OBSTRETICS, GYNAECOLOGY & PAEDIATRICS",DD,4,4,1,0,,0,0,0,NULL,NULL,5.18,5.58,0
2,1546,30,7,463,CLINICAL NEUROLOGY & PSYCHIATRY,DD,4,4,1,0,,0,0,0,NULL,NULL,5.31,4.98,0
2,1546,30,7,465,CLINICAL TRAINING,,0,0,0,74,BB,8,4,1,NULL,NULL,5.22,4.46,3
2,1546,30,7,466,ADVANCED PHYSICAL & FUNCTIONAL DIAGNOSIS,CD,5,5,1,64,CC,6,3,1,NULL,NULL,5.58,5.56,0
2,1638,30,8,468,ECOLOGY,AB,9,2,1,0,,0,0,0,NULL,NULL,0,0,0
2,1638,30,8,470,FUNDAMENTALS OF MICROBIOLOGY-I,CC,6,2,1,0,,0,0,0,7,6.73,6.45,6.45,0
2,1638,30,8,473,LIBERAL ARTS - ARTS AND CRAFT,,0,0,0,79,BB,8,2,1,8.09,8.09,0,0,0
2,1638,30,8,474,PLANT SCIENCES,BC,7,4,1,0,,0,0,0,NULL,NULL,5.55,5.55,0
2,1638,30,8,476,ECOLOGY,AA,10,2,1,0,,0,0,0,NULL,NULL,0,0,0
2,1638,30,8,576,FUNDAMENTALS OF BIOCHEMISTRY-I,AB,9,2,1,0,,0,0,0,NULL,NULL,8.36,8.36,0
5,1057,1,2,1,HUMAN ANATOMY I,DD,4,6,1,67,BC,7,1,1,0,0,,,
5,984,1,2,1,EXERCISE THERAPY I,BC,7,6,1,73,BB,8,3,1,0,0,,,
5,984,1,2,7,BIOCHEMISTRY,FF,0,4,1,40,AA,10,1,1,6,6.89,,,
5,984,1,2,8,EXERCISE THERAPY I,CC,6,6,1,60,CC,6,3,1,0,0,,,
5,984,1,2,9,ENGLISH & COMMUNICATION SKILLS,DD,4,1,1,30,CC,6,1,1,5.28,5.28,,,
5,984,1,2,10,PSYCHOLOGY,DD,4,4,1,0,,NULL,0,0,0,0,,,
5,984,1,2,11,FIRST AID & EMERGENCY NURSING,FF,0,1,1,33,BC,7,1,1,0,0,,,
5,934,1,1,13,FIRST AID & EMERGENCY NURSING,FF,0,1,1,27,DD,4,1,1,0,0,,,
5,934,1,1,14,PSYCHOLOGY,CD,5,4,1,0,,NULL,0,0,0,0,,,
5,934,1,1,15,EXERCISE THERAPY I,CD,5,6,1,54,DD,4,3,1,0,0,,,
5,934,1,1,16,FUNDAMENTALS OF BIOMECHANICS,FF,0,5,1,36,BB,8,1,1,0,0,,,
5,934,1,1,17,FUNDAMENTALS OF BIOMECHANICS,DD,4,5,1,32,CC,6,1,1,0,0,,,
5,934,1,1,18,FUNDAMENTALS OF BIOMEDICAL PHYSICS,DD,4,5,1,36,BB,8,1,1,0,0,,,
5,1022,7,3,27,PATHOLOGY,BB,8,3,1,0,,NULL,0,0,0,0,,,
5,1092,7,4,29,MICROBIOLOGY,BB,8,3,1,0,,NULL,0,0,0,0,,,
5,1022,7,3,30,EXERCISE THERAPY II,DD,4,5,1,62,CC,6,3,1,0,0,,,
5,1022,7,3,40,ENGLISH & COMMUNICATION SKILLS,BC,7,1,1,37,BB,8,1,1,6.78,6.78,,,
5,1022,7,3,41,BIOCHEMISTRY,FF,0,4,1,20,FF,0,1,1,0.72,1.4,,,
5,1022,7,3,42,HUMAN PHYSIOLOGY II,AB,9,6,1,68,BC,7,1,1,0,0,,,
5,1022,7,3,43,HUMAN ANATOMY II,BC,7,6,1,75,AB,9,1,1,0,0,,,
5,1092,7,4,44,BIOCHEMISTRY,DD,4,4,1,26,DD,4,1,1,3.81,4.17,,,
5,1092,7,4,45,BIOCHEMISTRY,CC,6,4,1,25,DD,4,1,1,4.87,5.02,,,
5,1092,7,4,46,HUMAN ANATOMY I,FF,0,6,1,51,DD,4,1,1,0,0,,,
5,1092,7,4,47,HUMAN PHYSIOLOGY I,BC,7,6,1,50,DD,4,1,1,0,0,,,
5,1092,7,4,48,FIRST AID & EMERGENCY NURSING,DD,4,1,1,27,DD,4,1,1,0,0,,,
5,1022,7,3,49,HUMAN PHYSIOLOGY II,DD,4,6,1,54,DD,4,1,1,0,0,,,
5,1092,7,4,50,HUMAN ANATOMY I,DD,4,6,1,64,CC,6,1,1,4.28,4.26,,,
5,1256,14,5,78,KINESIOLOGY,CD,5,5,1,27,DD,4,1,1,NULL,NULL,5.24,4.82,0
5,1256,14,5,79,KINESIOLOGY,DD,4,5,1,25,DD,4,1,NULL,NULL,NULL,2.76,3.12,0
5,1256,14,5,80,COMPUTER APPLICATIONS,DD,4,1,1,33,BC,7,1,1,5,4.93,5.15,4.89,1
5,1256,14,5,81,PATHOLOGY,AB,9,3,1,0,,0,0,0,NULL,NULL,9.03,8.83,0
5,1256,14,5,82,ENGLISH & COMMUNICATION SKILLS II,BB,8,1,1,40,AA,10,1,1,6.09,5.68,6.21,5.54,0
5,1256,14,5,83,PATHOLOGY,CD,5,3,1,0,,0,0,0,NULL,NULL,4.85,5.2,0
5,1330,14,6,84,FUNDAMENTALS OF BIOMECHANICS,FF,0,5,1,25,DD,4,1,NULL,NULL,NULL,0.84,0.84,1
5,1330,14,6,85,ELECTROTHERAPY I,BC,7,5,1,57,CD,5,3,1,NULL,NULL,4.33,4.29,2
5,1330,14,6,86,PREVENTIVE & COMMUNITY PHYSIOTHERAPY,BC,7,4,1,31,CC,6,1,1,NULL,NULL,5.73,5.77,0
5,1330,14,6,87,CLINICAL TRAINING,,0,0,0,74,BB,8,6,1,NULL,NULL,4.89,4.9,0
5,1330,14,6,88,CLINICAL TRAINING,,0,0,0,42,FF,0,6,1,NULL,NULL,5.27,4.76,2
5,1256,14,5,89,EVIDENCE BASED PRACTICE,CD,5,3,1,0,,0,0,0,NULL,NULL,5.42,5.86,0
5,1330,14,6,90,COMMUNITY MEDICINE,AB,9,3,1,0,,0,0,0,NULL,NULL,8.25,7.83,0
5,1546,30,7,449,ADVANCED EXERCISE THERAPEUTICS,DD,4,3,1,30,CC,6,2,1,NULL,NULL,5.94,5.24,0
5,1546,30,7,452,ADVANCED PHYSICAL & FUNCTIONAL DIAGNOSIS,DD,4,5,1,68,BC,7,3,1,NULL,NULL,5.18,5.58,0
5,1546,30,7,463,COMMUNITY MEDICINE,CC,6,3,1,0,,0,0,0,NULL,NULL,5.31,4.98,0
5,1546,30,7,465,CLINICAL NEUROLOGY & PSYCHIATRY,DD,4,4,1,0,,0,0,0,NULL,NULL,5.22,4.46,2
5,1546,30,7,466,EVIDENCE BASED PRACTICE,DD,4,3,1,0,,0,0,0,NULL,NULL,5.58,5.56,0
5,1638,30,8,468,ANIMAL SCIENCES,BB,8,4,1,0,,0,0,0,NULL,NULL,0,0,0
5,1638,30,8,470,PLANT SCIENCES,BB,8,4,1,0,,0,0,0,NULL,NULL,6.45,6.45,0
5,1638,30,8,473,MOLECULAR BASIS OF LIFE,CC,6,2,1,0,,0,0,0,NULL,NULL,0,0,0
5,1638,30,8,474,FUNDAMENTALS OF BIOCHEMISTRY-I,CC,6,2,1,0,,0,0,0,NULL,NULL,5.55,5.55,0
5,1638,30,8,476,LIBERAL ARTS - PHOTOGRAPHY,,0,0,0,80,AB,9,2,1,8.45,8.45,0,0,0
5,1638,30,8,576,ENGLISH LANGUAGE AND LITERATURE,AB,9,1,1,32,BC,7,1,1,NULL,NULL,8.36,8.36,0
6,984,1,2,1,HUMAN PHYSIOLOGY I,AB,9,6,1,75,AB,9,1,1,0,0,,,
6,984,1,2,7,ENGLISH & COMMUNICATION SKILLS,BB,8,1,1,42,AA,10,1,1,9.18,9.18,,,
6,984,1,2,8,PSYCHOLOGY,DD,4,4,1,0,,NULL,0,0,0,0,,,
6,984,1,2,9,HUMAN PHYSIOLOGY I,BC,7,6,1,67,BC,7,1,1,0,0,,,
6,984,1,2,10,EXERCISE THERAPY I,DD,4,6,1,58,CD,5,3,1,0,0,,,
6,984,1,2,11,BIOCHEMISTRY,DD,4,4,1,27,DD,4,1,1,5,5.83,,,
6,934,1,1,13,FUNDAMENTALS OF BIOMEDICAL PHYSICS,FF,0,5,1,43,AA,10,1,1,0,0,,,
6,934,1,1,14,ENGLISH & COMMUNICATION SKILLS,BB,8,1,1,41,AA,10,1,1,6.68,6.68,,,
6,934,1,1,15,HUMAN ANATOMY I,FF,0,6,1,59,CD,5,1,1,0,0,,,
6,934,1,1,16,BIOCHEMISTRY,FF,0,4,1,27,DD,4,1,1,2.36,3.55,,,
6,934,1,1,17,BIOCHEMISTRY,FF,0,4,1,36,BB,8,1,1,3.12,3.65,,,
6,934,1,1,18,HUMAN ANATOMY II,FF,0,6,1,50,DD,4,1,1,0,0,,,
6,1022,7,3,27,PHARMACOLOGY,CC,6,3,1,0,,NULL,0,0,0,0,,,
6,1092,7,4,29,PHARMACOLOGY,CD,5,3,1,0,,NULL,0,0,0,0,,,
6,1022,7,3,30,MICROBIOLOGY,AA,10,3,1,0,,NULL,0,0,0,0,,,
6,1022,7,3,40,EXERCISE THERAPY I,BB,8,6,1,63,CC,6,3,1,0,0,,,
6,1022,7,3,41,FUNDAMENTALS OF BIOMECHANICS,FF,0,5,1,29,CD,5,1,1,0,0,,,
6,1022,7,3,42,HUMAN ANATOMY II,CC,6,6,1,76,AB,9,1,1,0,0,,,
6,1022,7,3,43,BIOCHEMISTRY,CD,5,4,1,26,DD,4,1,1,7.21,6.68,,,
6,1092,7,4,44,HUMAN ANATOMY II,DD,4,6,1,56,CD,5,1,1,0,0,,,
6,1092,7,4,45,FIRST AID & EMERGENCY NURSING,BC,7,1,1,30,CC,6,1,1,0,0,,,
6,1092,7,4,46,EXERCISE THERAPY I,DD,4,6,1,59,CD,5,3,1,0,0,,,
6,1092,7,4,47,EXERCISE THERAPY I,FF,0,6,1,58,CD,5,3,1,0,0,,,
6,1092,7,4,48,FUNDAMENTALS OF BIOMECHANICS,CC,6,5,1,37,BB,8,1,1,0,0,,,
6,1022,7,3,49,FUNDAMENTALS OF BIOMECHANICS,DD,4,5,1,27,DD,4,1,1,0,0,,,
6,1092,7,4,50,SOCIOLOGY,CC,6,3,1,0,,NULL,0,0,0,0,,,
6,1256,14,5,78,CLINICAL TRAINING,,0,0,0,63,CC,6,4,1,NULL,NULL,5.24,4.82,0
6,1256,14,5,79,ENGLISH & COMMUNICATION SKILLS II,BB,8,1,1,30,CC,6,1,1,5.41,4.75,3.31,4.06,0
6,1256,14,5,80,PHARMACOLOGY,FF,0,3,1,0,,0,0,0,NULL,NULL,5.15,4.89,1
6,1256,14,5,81,MICROBIOLOGY,BC,7,3,1,0,,0,0,0,NULL,NULL,9.03,8.83,0
6,1256,14,5,82,GENERAL SURGERY,CD,5,6,1,0,,0,0,0,NULL,NULL,6.21,5.54,0
6,1256,14,5,83,MICROBIOLOGY,DD,4,3,1,0,,0,0,0,NULL,NULL,4.85,5.2,0
6,1330,14,6,84,FUNDAMENTALS OF BIOMEDICAL PHYSICS,BC,7,5,1,30,CC,6,1,NULL,NULL,NULL,1.5,1.5,0
6,1330,14,6,85,CLINICAL TRAINING,,0,0,0,69,BC,7,4,1,NULL,NULL,4.33,4.29,2
6,1330,14,6,86,ERGONOMICS,AB,9,2,1,0,,0,0,0,NULL,NULL,5.73,5.77,0
6,1330,14,6,87,PHYSIOTHERAPY IN SPORTS & ALLIED THERAPEUTICS,CC,6,3,1,31,CC,6,1,1,NULL,NULL,4.89,4.9,0
6,1330,14,6,88,ERGONOMICS,CD,5,2,1,0,,0,0,0,NULL,NULL,5.27,4.76,2
6,1256,14,5,89,COMMUNITY MEDICINE,CC,6,3,1,0,,0,0,0,NULL,NULL,8.03,8.13,0
6,1330,14,6,90,RESEARCH METHODOLOGY,CD,5,3,1,0,,0,0,0,NULL,NULL,8.25,7.83,0
6,1546,30,7,449,COMMUNITY MEDICINE,BC,7,3,1,0,,0,0,0,NULL,NULL,5.94,5.24,0
6,1546,30,7,452,CLINICAL CARDIO RESPIRATORY CONDITIONS,DD,4,4,1,0,,0,0,0,4.75,5.46,5.18,5.58,0
6,1546,30,7,463,CLINICAL TRAINING,,0,0,0,67,BC,7,4,1,NULL,NULL,5.31,4.98,0
6,1546,30,7,465,ELECTROTHERAPY II,FF,0,5,1,50,DD,4,2,1,2.64,4.23,5.22,4.46,3
6,1546,30,7,466,CLINICAL TRAINING,,0,0,0,65,BC,7,6,1,NULL,NULL,5.58,5.56,0
6,1638,30,8,468,LABORATORY-I,,0,0,0,125,AA,10,6,1,NULL,NULL,0,0,0
6,1638,30,8,470,CELL BIOLOGY-I,CD,5,2,1,0,,0,0,0,NULL,NULL,6.45,6.45,0
6,1638,30,8,473,LABORATORY-I,,0,0,0,112,AB,9,6,1,NULL,NULL,0,0,0
6,1638,30,8,474,BASIC GENETICS,CC,6,2,1,0,,0,0,0,NULL,NULL,5.55,5.55,0
6,1638,30,8,476,CONCEPTS OF INORGANIC CHEMISTRY,AB,9,2,1,0,,0,0,0,NULL,NULL,8.45,8.45,0
6,1638,30,8,576,CONCEPTS OF PHYSICS-I,AA,10,2,1,0,,0,0,0,NULL,NULL,0,0,0
1108,984,1,2,1,SOCIOLOGY,BC,7,3,1,0,,NULL,0,0,0,0,,,
1108,984,1,2,7,EXERCISE THERAPY I,AA,10,6,1,81,AA,10,3,1,0,0,,,
1108,984,1,2,8,ENGLISH & COMMUNICATION SKILLS,BC,7,1,1,36,BB,8,1,1,6.37,6.37,,,
1108,984,1,2,9,SOCIOLOGY,BC,7,3,1,0,,NULL,0,0,0,0,,,
1108,984,1,2,10,FUNDAMENTALS OF BIOMECHANICS,BC,7,5,1,37,BB,8,1,1,0,0,,,
1108,984,1,2,11,HUMAN ANATOMY II,DD,4,6,1,54,DD,4,1,1,0,0,,,
1108,934,1,1,13,BIOCHEMISTRY,DD,4,4,1,27,DD,4,1,1,4.9,5.79,,,
1108,934,1,1,14,EXERCISE THERAPY I,CC,6,6,1,72,BB,8,3,1,0,0,,,
1108,934,1,1,15,HUMAN PHYSIOLOGY I,CD,5,6,1,64,CC,6,1,1,0,0,,,
1108,934,1,1,16,FIRST AID & EMERGENCY NURSING,CD,5,1,1,33,BC,7,1,1,0,0,,,
1108,934,1,1,17,HUMAN PHYSIOLOGY II,BC,7,6,1,65,BC,7,1,1,0,0,,,
1108,934,1,1,18,HUMAN PHYSIOLOGY II,BC,7,6,1,68,BC,7,1,1,0,0,,,
1108,1022,7,3,27,CLINICAL TRAINING,,NULL,0,0,76,AB,9,4,1,0,0,,,
1108,1092,7,4,29,ELECTROTHERAPY I,CC,6,5,1,64,CC,6,3,1,0,0,,,
1108,1022,7,3,30,COMPUTER APPLICATIONS,AA,10,1,1,40,AA,10,1,1,7.89,6.33,,,
1108,1022,7,3,40,HUMAN ANATOMY I,DD,4,6,1,66,BC,7,1,1,0,0,,,
1108,1022,7,3,41,FUNDAMENTALS OF BIOMEDICAL PHYSICS,FF,0,5,1,26,DD,4,1,1,0,0,,,
1108,1022,7,3,42,FUNDAMENTALS OF BIOMECHANICS,BB,8,5,1,38,AB,9,1,1,0,0,,,
1108,1022,7,3,43,HUMAN PHYSIOLOGY II,BB,8,6,1,71,BB,8,1,1,0,0,,,
1108,1092,7,4,44,HUMAN PHYSIOLOGY II,CD,5,6,1,58,CD,5,1,1,0,0,,,
1108,1092,7,4,45,HUMAN PHYSIOLOGY II,CD,5,6,1,62,CC,6,1,1,0,0,,,
1108,1092,7,4,46,HUMAN ANATOMY II,FF,0,6,1,51,DD,4,1,1,0,0,,,
1108,1092,7,4,47,HUMAN ANATOMY I,DD,4,6,1,52,DD,4,1,1,3.86,2.8,,,
1108,1092,7,4,48,ENGLISH & COMMUNICATION SKILLS,BB,8,1,1,34,BC,7,1,1,3.59,3.59,,,
1108,1022,7,3,49,FIRST AID & EMERGENCY NURSING,DD,4,1,1,26,DD,4,1,1,0,0,,,
1108,1092,7,4,50,HUMAN ANATOMY I,FF,0,6,1,64,CC,6,1,1,0,0,,,
1108,1256,14,5,78,PHARMACOLOGY,DD,4,3,1,0,,0,0,0,NULL,NULL,5.24,4.82,0
1108,1256,14,5,79,GENERAL SURGERY,DD,4,6,1,0,,0,0,0,NULL,NULL,3.31,4.06,0
1108,1256,14,5,80,MICROBIOLOGY,DD,4,3,1,0,,0,0,0,NULL,NULL,5.15,4.89,1
1108,1256,14,5,81,KINESIOLOGY,BB,8,5,1,44,AA,10,1,1,NULL,NULL,9.03,8.83,0
1108,1256,14,5,82,EXERCISE THERAPY II,CC,6,5,1,58,CD,5,3,1,NULL,NULL,6.21,5.54,0
1108,1256,14,5,83,PHARMACOLOGY,DD,4,3,1,0,,0,0,0,NULL,NULL,4.85,5.2,0
