id,sgpa1,sgpa2,sgpa3,sgpa4,cgpa,active_backlogs,total_backlogs,10th_mark,12th_mark,stress_level,studytime,part_timejob,math,dsa,networks,os,attendance,career_preference
19,7.6,8.26,6.02,8.74,7.65,5,5,73.14,97.32,low,4,yes,39,36,89,44,92.6,higher study
20,7.23,6.4,4.55,6.76,6.24,4,4,49.2,51.22,high,14,yes,52,95,57,34,73.33,higher study
21,7.04,7.64,6.72,8.32,7.43,0,0,54.96,82.89,low,2,no,45,54,70,76,95.97,job
22,8.7,7.64,5.82,6.8,7.24,0,0,54.44,61.08,medium,13,yes,58,66,62,79,79.4,job
23,6.07,6.27,5.78,5.46,5.9,0,0,54.88,65.57,low,7,no,46,34,75,69,86.48,none
24,7.99,4.34,6.3,9.31,6.98,0,3,78.09,86.77,high,5,no,36,89,51,99,64.26,job
25,8.89,7.25,6.78,6.63,7.39,1,1,68.57,52.85,medium,14,yes,57,37,36,90,79.7,job
26,7.68,4.03,6.53,8.83,6.77,0,1,58.83,39.5,medium,2,yes,41,55,46,39,60.64,job
27,8.81,8.56,5.29,6.06,7.18,0,0,43,67.86,low,13,yes,78,91,62,95,75.64,higher study
28,6.16,8.57,6.09,8.9,7.43,0,0,34.49,68.43,medium,4,yes,34,77,99,60,62.18,none
29,7.26,6.3,8.73,6.45,7.18,0,0,47.67,86.41,medium,0,no,36,90,92,59,95.88,job
30,6.78,6.27,5.71,8.46,6.81,1,1,40.21,97.88,low,5,yes,98,73,81,46,86.91,none
31,8.19,6.79,6.02,6.83,6.96,0,0,85.63,36.71,medium,14,yes,48,89,37,51,91.68,higher study
32,8.94,8.62,8.21,7.05,8.2,0,0,40.55,72.65,high,13,yes,83,96,84,71,78.71,none
33,6.77,6.39,6.46,6.65,6.57,1,1,81.53,78.65,low,11,no,53,72,38,39,94.08,none
34,5.15,9.5,8.74,7.76,7.79,0,0,58.85,99.05,low,12,yes,36,40,72,61,94.92,none
35,9.83,8.16,8.68,5.21,7.97,0,0,37.93,96.15,low,13,yes,94,47,74,38,74.27,none
36,3.85,9.8,7.96,7.04,7.16,0,3,87.45,80.74,low,8,yes,48,51,38,92,75.07,none
37,7.96,9.44,8.02,7.97,8.35,0,0,71.84,67.96,high,11,yes,92,88,41,78,80.33,higher study
38,6.59,6.3,4.3,5.2,5.6,1,1,48.8,43.83,low,6,yes,87,89,89,86,61.69,job
39,7.7,7.87,6.02,6.05,6.91,0,0,92.94,58.75,high,14,yes,93,90,58,35,99.83,none
40,7.39,7.07,10,6.19,7.66,0,0,36.04,72.21,low,10,yes,70,91,85,82,74.37,higher study
41,8.92,4.28,9.24,6.3,7.18,0,0,46.53,81.59,low,12,no,54,58,85,96,78.83,higher study
42,7.83,8.37,8.95,7.26,8.1,2,3,83.39,75.58,medium,7,no,56,36,40,91,90.19,job
43,7.05,6.7,8.63,4.88,6.82,0,0,80.53,80.85,medium,5,yes,51,54,94,37,71.9,higher study
44,4.93,7.92,8.69,8.44,7.49,1,1,52.39,61.76,high,10,yes,50,65,80,63,68.07,job
45,6.34,6.71,7.98,8.66,7.42,0,0,37.17,81.75,medium,4,yes,64,35,99,90,65.1,none
46,6.45,8.14,7.03,6.73,7.09,0,0,90.49,42.64,low,14,no,97,53,92,80,81.12,higher study
47,6.68,8.62,8.68,7.72,7.92,2,2,54.02,43.9,high,11,yes,81,51,38,51,60.22,higher study
48,6.75,6.38,6.87,9.18,7.3,0,0,46.12,43.92,medium,5,yes,59,87,77,77,88.38,higher study
49,8.55,3.95,4.45,4.91,5.46,0,0,67.58,92.69,low,6,no,55,69,75,85,78.46,none
50,7.68,8.6,7.69,8.31,8.07,0,3,93.99,38.1,medium,8,no,78,94,94,82,81.27,job
51,9.54,5.75,6.3,6.87,7.12,0,0,35.93,86.7,medium,7,yes,69,93,96,63,70.53,job
52,7.57,7.78,8.77,7.23,7.84,0,0,84.31,48.66,medium,4,yes,97,69,83,85,67.13,higher study
53,3.96,4.49,9.84,7.57,6.46,0,0,71.36,64.39,medium,14,no,68,77,71,70,88,higher study
54,4.2,6.38,6.42,6.4,5.85,0,0,61.51,94.37,low,6,no,60,99,87,96,68.41,none
55,6.34,7.28,5.03,6.08,6.18,1,1,82.86,72.26,medium,7,no,50,77,77,45,91.2,none
56,4.05,6.48,6.67,6.46,5.92,0,0,97.71,47.09,high,0,no,44,62,57,50,68.15,job
57,8.58,4.11,7.67,5.34,6.42,0,1,48.36,52.04,high,7,yes,38,81,96,67,84.51,higher study
58,8.17,8.1,8.29,7.88,8.11,5,5,42.63,94.67,medium,10,yes,91,69,72,61,85.75,higher study
59,6.2,4.62,7.86,6.22,6.22,0,0,94.16,61.62,high,6,no,90,41,45,37,80.23,higher study
60,8.12,9.49,6.7,6.57,7.72,0,0,77.82,72.33,medium,10,yes,47,38,96,79,99.87,higher study
61,7.63,8.28,6,9.75,7.92,0,0,62.35,63.82,low,11,yes,34,80,42,47,75.03,none
62,6.25,6.32,8.27,7.01,6.96,0,1,71.41,58.36,low,11,no,49,76,55,46,95.33,none
63,3.96,7.52,5.06,6.23,5.69,0,1,82.96,47.97,high,1,no,59,43,69,91,66.77,job
64,7.37,8.44,8.96,6.58,7.84,0,5,84.8,78.98,high,1,no,82,43,61,82,73.49,higher study
65,7.45,4.3,9.82,4.18,6.44,0,0,94.63,81.13,medium,11,yes,75,39,89,83,65.81,none
66,6.5,8.81,8.43,8.73,8.12,0,0,61.6,51.42,medium,5,yes,99,49,62,100,84.14,higher study
67,8.84,7.54,7.38,6.06,7.45,0,0,52.67,85.87,medium,2,yes,86,93,38,54,85.53,job
68,5.56,9.85,8.71,9.2,8.33,0,0,75.86,90.26,low,0,no,42,59,37,84,78.14,higher study
69,8.55,8.85,7.23,4.38,7.25,0,0,60.86,94.69,medium,14,yes,73,54,84,71,88.81,none
70,9.84,5.36,7.57,7.96,7.68,0,2,72.84,43.81,low,7,no,89,91,48,59,94.71,none
71,8.01,7.61,7.43,7.15,7.55,0,0,61.14,53.37,high,6,yes,38,74,93,39,91.06,job
72,7.39,7.18,7.34,8.02,7.48,0,3,43.26,90.65,low,3,no,89,63,59,51,69.67,job
73,7.24,8.54,8.33,7.77,7.97,4,5,64.46,46.31,high,13,yes,38,38,56,39,72.82,higher study
74,4.21,7.48,7.58,9.69,7.24,1,2,79.29,33.24,low,0,yes,85,43,62,74,75.21,higher study
75,7.95,7.42,4.7,6.67,6.68,1,1,86.55,91.35,low,1,no,66,44,90,90,68.15,none
76,7.64,7.47,6.95,5.68,6.94,0,0,66.06,54.88,medium,8,no,55,96,95,83,74.45,none
77,6.19,8.54,6.77,8.54,7.51,0,0,44.08,60.78,high,3,yes,48,40,92,58,69.52,none
78,7.54,8.5,6.11,7.48,7.41,0,0,60.79,62.91,low,2,yes,98,92,81,81,99.83,job
79,8.42,7.21,7.75,8.47,7.96,0,0,85.68,89.84,low,7,no,56,45,68,57,91.33,job
80,7.38,7,6.69,7.22,7.07,0,0,60.67,55.65,high,3,yes,39,97,79,63,94.4,job
81,5.82,7.48,6.44,8.95,7.17,0,0,79.67,92.78,low,6,yes,91,74,66,78,96.89,higher study
82,6.16,7.72,7.96,8.31,7.54,0,0,66.99,74.34,high,14,no,59,93,43,76,86.6,job
83,8.36,6.72,8.04,8.9,8,0,0,49.17,68.33,high,12,no,45,61,81,89,67.04,higher study
84,6.6,8.38,8.26,7.54,7.7,5,7,86.34,54.82,high,13,yes,35,96,77,66,90.34,higher study
85,6.78,7.46,7.51,7.42,7.29,0,0,38.65,49.34,low,13,no,65,36,96,78,60.62,higher study
86,6.49,7,8.68,8.27,7.61,1,1,68.17,74.82,low,13,yes,83,65,82,40,64.53,job
87,6.99,6.32,9.23,8.64,7.8,0,0,47,62.95,medium,4,yes,94,54,74,51,61.18,none
88,8.27,6.72,8.81,8.89,8.17,1,1,37.5,94.01,high,4,no,44,88,72,78,65.42,job
89,5.92,5.93,8.42,6.97,6.81,0,0,66.7,65.94,low,10,yes,67,51,56,70,90.08,job
90,7.56,8.85,4.5,8.4,7.33,3,3,66.48,67.3,low,5,yes,41,86,46,54,95.42,job
91,6.61,6.92,5.97,6.63,6.53,0,4,80.37,60.93,high,11,yes,41,94,86,77,71.15,higher study
92,8.63,6.51,7.91,7.64,7.67,0,0,82.9,85.88,high,12,yes,48,83,90,63,64.77,none
93,8.64,7.38,6.91,6.54,7.37,0,0,81.76,61.47,high,3,yes,38,41,100,44,70.92,job
94,8.61,4.6,9.1,4.27,6.64,0,0,60.45,51.05,medium,1,no,52,45,81,41,85.88,job
95,6.72,6.92,8.95,7.04,7.41,1,1,75.33,90.76,medium,5,no,42,84,53,38,74.01,higher study
96,7.35,6.11,5.55,8.79,6.95,4,4,71.66,72.99,medium,12,yes,90,99,95,41,98.45,job
97,8.95,6.97,6.82,6.44,7.3,0,0,61.25,72.64,high,4,yes,87,74,78,38,65.24,job
98,8.32,7.63,6.61,4.87,6.86,0,3,73.02,73.93,low,2,no,62,55,96,43,99.61,higher study
99,6.08,7.66,7.33,7.9,7.24,0,0,96.47,81.17,high,3,yes,52,42,41,48,60.5,job
100,6.2,7.07,6.17,7.78,6.8,1,1,45.93,53.98,low,2,no,79,44,59,89,78.07,none
101,7.39,7.34,4.59,6.36,6.42,0,0,93.69,35.28,medium,2,no,95,46,71,88,70.07,higher study
102,8.73,8.9,9.98,6.98,8.65,0,0,36.59,87.31,medium,3,no,93,89,74,36,82.65,none
103,7.62,7.13,8.94,9.35,8.26,0,0,53.67,41.65,medium,1,yes,38,61,35,74,63.86,job
104,7.49,6.77,7.77,7.69,7.43,0,0,52.31,81.36,low,3,yes,66,97,40,43,95.03,higher study
105,4.93,6.73,5.32,6.56,5.88,0,0,74.97,38.52,low,9,yes,88,97,58,40,65.46,higher study
106,6.32,7.37,7.67,5.26,6.65,0,0,41.8,58.15,high,10,yes,52,88,84,96,83.5,job
107,7.97,9.71,7.97,8.4,8.51,0,0,92.12,37.23,high,1,no,50,70,83,96,61.33,none
108,8.47,8.28,7.49,8.92,8.29,0,0,88.51,67.99,high,13,yes,75,66,97,59,72.44,job
109,7.14,5.65,6.1,6.64,6.38,0,0,76.69,76.76,medium,9,yes,55,58,45,67,65.99,higher study
110,8.33,6.62,7.84,6.56,7.34,0,0,63.72,44.49,high,7,yes,72,56,86,72,99.11,higher study
111,8.89,8.13,8.15,7.36,8.13,0,0,95.51,57.91,medium,9,no,60,93,43,93,60.48,higher study
112,6.61,6.06,7.25,8.24,7.04,0,0,88.66,95.33,low,4,yes,79,89,94,59,74.1,job
113,3.86,7.26,9.3,6.84,6.82,0,0,66.46,62.65,medium,12,no,61,96,88,95,72.11,job
114,4.44,8.33,8.27,6,6.76,5,5,80.03,86.77,medium,6,yes,85,41,75,43,86.29,job
115,7.57,7.02,6.68,9.51,7.7,1,1,70.99,95.12,medium,10,yes,98,50,99,87,62.26,none
116,5.49,7.69,6.66,6.06,6.48,2,2,72.4,98.28,low,3,yes,72,90,77,64,92.42,none
117,4.42,4.91,6.48,7.62,5.86,3,3,55.18,93.19,low,9,yes,51,95,61,71,78.66,none
118,6.86,6.61,7.12,4.59,6.3,0,2,63.97,54.27,high,5,yes,55,44,91,58,78.11,higher study
119,3.72,8.23,8.54,8.87,7.34,0,0,38.24,97.49,high,12,no,44,100,35,98,69.07,none
120,8.38,6.16,8.48,7.17,7.55,0,0,56.95,87.43,high,11,yes,97,73,88,83,79.6,higher study
121,4.89,8.56,7.15,7.26,6.96,1,2,79.62,89.09,low,13,no,90,73,67,57,74.56,none
122,5.61,6.59,7.77,8.91,7.22,0,4,96.87,34.03,low,9,yes,68,89,53,60,69.81,none
123,7.73,8.62,8.16,8.08,8.15,0,0,97.53,96.93,low,3,yes,70,86,80,83,66.75,higher study
124,7.9,3.89,6.72,9.93,7.11,0,0,70.24,85.13,low,14,no,83,61,59,83,89.13,job
125,8.39,7.06,6.5,8.16,7.53,0,0,73.65,84.46,low,5,yes,63,75,34,48,65.68,none
126,7.19,8.17,8.92,4.57,7.21,0,0,45.45,38.47,medium,0,no,50,79,98,50,66.72,higher study
127,5.49,6.96,7.85,7.69,7,2,2,79.59,48.59,high,5,no,66,51,48,62,83.08,job
128,3.94,5.23,4.17,9.04,5.6,0,5,37.74,97.47,medium,5,yes,49,56,47,38,69.04,job
129,8.75,8.72,3.75,8.92,7.54,2,2,52.08,66.55,high,1,yes,48,59,88,44,78.38,job
130,7.6,6.38,8.94,8.07,7.75,0,0,77.78,59.66,medium,11,yes,46,62,34,85,82.12,higher study
131,6.47,6.54,7.01,8.69,7.18,0,0,53.8,89.28,low,9,yes,36,85,66,67,70.98,none
132,8.09,7.48,8.11,8.1,7.94,3,3,36.35,38.86,high,9,yes,57,79,89,66,73.74,none
133,8.38,6.25,9.87,8.21,8.18,2,2,88.74,60.94,medium,8,no,56,34,56,82,68.41,none
134,6.95,6.59,6.67,6.87,6.77,0,0,53.8,58.18,high,14,no,92,96,87,64,78.42,job
135,5.18,8.83,6.78,6.91,6.92,0,0,37.24,56.45,low,5,yes,88,49,36,51,99.7,none
136,8.57,8.93,7.54,8.35,8.35,0,0,38.02,53.62,low,11,yes,98,58,79,38,74.51,higher study
137,8.72,7.13,6.96,6.89,7.43,0,1,49.88,47.08,high,14,no,65,95,39,63,86.13,none
138,6.83,8.77,9,7.69,8.07,0,1,44.94,44.59,high,10,no,93,49,58,78,85.44,none
139,8.95,7.63,6.5,6.75,7.46,3,3,84.88,75.91,low,12,no,63,67,50,71,91.46,none
140,9.43,6.81,6.79,5.61,7.16,0,1,54.56,94.6,low,6,yes,99,86,61,62,88.48,none
141,9.38,8.11,6.11,8.45,8.01,0,0,86.92,67.1,low,1,yes,51,56,65,69,60.47,higher study
142,6.42,7.98,8.11,9.5,8,0,0,44.66,52.97,medium,1,no,92,76,56,42,72.37,none
143,6.61,8.97,7.48,6.33,7.35,2,2,66.03,43.67,high,1,no,86,77,49,56,94.81,job
144,6.55,4.78,6.28,8.49,6.52,4,4,79.1,88.62,low,9,yes,97,65,59,36,81.58,none
145,8.68,5.13,9.02,7.81,7.66,0,0,76.69,98.09,high,12,no,63,56,66,89,64.17,job
146,7.96,6.8,6.52,6.56,6.96,0,0,73.28,56.4,medium,10,yes,51,53,91,73,71.05,job
147,6.46,8.02,6.31,7.63,7.1,0,0,94.96,52.5,medium,8,no,38,52,81,89,71.34,job
148,7.32,6.16,4.38,6.85,6.18,0,0,48.32,73.3,low,2,yes,41,62,88,91,94.93,higher study
149,7.85,6.34,7.84,6.97,7.25,0,0,66.08,84.95,high,12,no,42,51,74,64,82.14,job
150,6.25,6.01,6.28,7.05,6.4,2,2,92.23,63.52,medium,3,no,65,45,95,44,84.33,job
151,4.05,9,8.26,6.19,6.88,4,4,38.23,75.22,high,0,no,47,43,50,75,74.68,none
152,8.65,8.41,4.51,8.96,7.63,0,1,36.75,81.01,high,0,no,46,70,92,36,62.41,higher study
153,8.41,8.36,6.06,6.09,7.23,0,0,48.64,97.36,low,3,yes,51,88,47,90,63.01,higher study
154,7.52,7.53,3.54,7.99,6.64,0,0,75.42,44.07,medium,13,no,55,37,54,47,76.82,higher study
155,9.92,6.9,6.75,7.11,7.67,0,0,50.42,99.82,medium,1,yes,53,96,96,79,67.1,job
156,8.9,6.45,8.67,7.94,7.99,0,0,45.75,59.28,medium,7,no,48,45,79,52,64.17,job
157,7.25,6.85,8.16,7.07,7.33,0,0,63.75,81.46,high,12,no,40,51,88,93,70.49,job
158,8.95,5.72,6.22,8.02,7.23,0,0,74.11,71.36,medium,3,yes,63,41,95,64,89.68,none
159,8,9.49,8.46,8.19,8.54,0,0,49.66,65.61,medium,2,no,38,65,72,69,62.92,job
160,7.9,7.13,7.48,8.07,7.64,0,0,53.15,79.77,high,2,no,34,82,75,65,77.93,higher study
161,6.5,8.27,9.47,6.34,7.64,0,0,74.11,59.52,medium,5,yes,93,96,81,96,93.04,none
162,8.65,7.62,8.54,7.97,8.2,0,0,96.37,41.46,medium,11,no,64,92,61,59,70.72,none
163,7.28,6.23,7.8,6.84,7.04,0,0,78.21,65.76,high,12,no,53,100,39,98,72.07,higher study
164,6.49,6.05,8.05,6.09,6.67,0,0,85.46,67.97,medium,5,no,97,72,92,35,95.37,job
165,6.04,6.31,8.98,7.24,7.14,0,0,57.58,46.54,low,5,yes,97,83,72,78,86,none
166,4.05,7.23,6.7,7.3,6.32,1,1,51.25,95.69,high,5,no,62,59,90,58,91.91,higher study
167,7.68,8.8,7.87,5.51,7.46,0,5,63.44,48.25,medium,7,yes,43,56,87,73,71.57,job
168,7.58,7.91,7.38,7.4,7.57,5,5,87.08,60.42,low,7,yes,62,96,93,51,99.87,none
169,8.16,8.41,6.12,8.11,7.7,0,0,63.58,43.39,high,8,yes,64,99,50,45,65.64,none
170,8.67,7.4,6.04,6.93,7.26,0,0,89.73,68.9,medium,0,yes,63,72,73,57,98.48,none
171,6.24,7.08,5.54,6.95,6.45,0,0,99.25,53.62,high,9,no,58,99,99,76,96.08,none
172,8.19,9.26,4.4,5.33,6.8,0,2,37.84,65.79,low,7,no,91,79,87,65,82.08,none
173,6.56,6.33,6.36,6.18,6.36,1,1,36.05,48.06,high,4,yes,90,48,77,80,83.41,job
174,8.57,8.63,7.95,9.85,8.75,3,3,43.03,36.61,medium,2,no,96,49,100,78,91,higher study
175,8.46,4.6,7.7,8.06,7.2,5,6,58.76,85.21,low,10,no,70,49,90,68,72.27,none
176,7.62,9.88,7.66,7.7,8.22,0,2,41.79,75.96,high,9,no,91,72,69,42,81.1,higher study
177,8.13,8.35,6.1,7.05,7.41,0,0,91.34,55.84,medium,2,no,61,44,90,43,96.1,higher study
178,6.94,5.75,7.41,8.12,7.06,0,0,34.56,36.19,medium,5,no,60,69,76,98,62.73,higher study
179,5.69,6.5,8.77,7.61,7.14,0,0,54.16,90.99,low,7,no,70,51,77,92,96.22,job
180,7.41,7.54,7.19,7.41,7.39,0,0,45.38,44.38,low,9,yes,39,56,95,90,89.15,higher study
181,8.46,7.46,7.87,7.53,7.83,1,2,95.41,95.36,high,1,no,95,82,94,43,90.79,higher study
182,7.38,7.88,8.34,4.66,7.06,2,2,77.86,65.07,medium,11,yes,66,75,44,52,62.59,higher study
183,4.12,8.84,8.35,7.91,7.31,0,0,94.11,55.81,low,8,no,73,77,66,83,67.51,none
184,4.16,7.74,9.24,7.98,7.28,0,0,98.15,82.7,medium,4,yes,74,34,99,38,97.01,none
185,7.07,7.62,7.56,6.87,7.28,0,0,66.31,91.75,high,4,no,75,40,56,62,64.96,higher study
186,7.48,6.15,8.57,6.42,7.16,0,0,48.71,57.84,low,0,yes,42,81,82,38,85.25,job
187,3.5,6.19,7.17,6.47,5.83,0,0,45.99,60.3,high,5,yes,51,49,53,93,91.31,none
188,8.48,6.56,4.95,7.92,6.98,2,2,47.94,62.03,high,12,no,48,81,48,98,69.25,none
189,7.01,6.1,8.67,8.62,7.6,0,0,80.48,94.8,low,10,no,37,76,99,61,87.95,higher study
190,6.52,8.23,6.72,7.23,7.18,0,2,35.72,79.4,high,10,yes,67,84,63,34,62.62,higher study
191,8.14,8.17,3.68,6.51,6.62,0,0,36.45,49.6,medium,4,no,95,99,37,62,79.95,job
192,5.68,5.38,6.84,8.27,6.54,0,0,73.75,45.4,low,6,no,71,64,97,84,73.38,none
193,5.48,6.41,6.16,4.31,5.59,3,3,76.02,48.44,medium,6,no,56,72,98,69,85.83,higher study
194,8.48,8.51,8.39,8.5,8.47,0,0,77.58,50.67,high,3,no,53,42,41,65,95.56,none
195,6.3,6.46,7.25,8.64,7.16,5,5,57.92,48.43,low,4,yes,89,74,85,97,65.02,higher study
196,6.72,6.9,6.69,7.82,7.03,0,0,87,77.12,medium,9,no,86,96,47,47,78.01,higher study
197,6.43,6.75,6.7,5.02,6.22,0,0,68.76,40.78,medium,13,no,35,47,91,65,76.93,job
198,5.07,7.12,8.7,8.58,7.37,0,0,40.08,58.96,medium,7,no,54,91,44,42,72.95,none
199,5.38,6.76,8.5,6.05,6.67,0,0,86.41,74.88,medium,1,no,75,97,92,44,79.21,none
200,7.04,7.47,7.66,6.32,7.12,0,0,96.86,52.49,medium,0,yes,90,61,57,81,95.23,higher study
201,7.35,4.72,7.85,6.28,6.55,0,1,37.03,37.38,high,13,no,82,37,65,84,98.95,job
202,8.25,7.22,7.42,8.14,7.76,0,0,59.23,38.49,high,5,no,43,67,79,37,60.11,job
203,7.95,8.96,3.94,6.21,6.76,0,5,65.67,41.45,high,10,no,94,37,61,74,89.56,job
204,3.88,9.58,7.17,7.49,7.03,4,4,42.82,89,high,13,yes,54,91,49,58,84.6,none
205,7.86,6.17,8.75,7.42,7.55,5,5,91.14,77.08,high,3,no,93,37,75,50,99.78,higher study
206,7.06,6.43,6.38,6.93,6.7,0,0,52.05,37.33,high,12,yes,46,83,49,80,63.6,higher study
207,8.52,6.16,7.26,5.69,6.91,3,3,85.46,59.21,high,9,no,81,38,45,41,92.45,job
208,7.41,7.88,7.03,8.61,7.73,0,0,77.96,51.67,medium,2,no,73,78,95,91,97.36,job
209,8.94,6.16,7.49,6.51,7.28,0,0,73.07,71.73,high,6,yes,96,68,67,34,96.48,job
210,7.9,8.51,7.37,7.06,7.71,0,0,45.88,68.03,medium,7,yes,42,60,71,35,82.42,none
211,6.38,7.54,7.56,8.32,7.45,4,4,47.79,65.24,low,10,no,90,35,80,43,73.1,higher study
212,8.03,7.58,6.42,6.09,7.03,0,0,36.18,54.08,high,11,no,84,87,55,60,85.6,job
213,6.98,7.68,7.54,9.59,7.95,0,0,49.14,42.24,medium,3,no,73,81,36,46,72.24,job
214,8.06,6.51,6.73,9.28,7.64,0,0,56.15,82.74,low,11,no,97,82,34,96,76.49,higher study
215,6.21,6.59,6.55,8.02,6.84,0,0,88.82,91.95,low,11,no,97,34,86,44,77.83,none
216,6.52,5.01,6.19,8.45,6.54,0,0,57.55,96.26,medium,14,yes,58,66,97,47,72.08,none
217,8.57,6.96,8.29,8.8,8.16,0,0,83.56,36.94,medium,9,no,61,68,77,59,73.67,none
218,6.68,7.78,7.28,8.63,7.59,0,0,62.45,82.58,medium,11,yes,43,87,80,72,60.29,higher study
219,8.51,6.63,7.88,6.96,7.5,5,5,85.59,81.68,high,10,yes,61,89,71,61,71.88,none
220,4.65,6.35,8.18,7.76,6.74,1,1,98.41,96.46,low,10,no,69,48,96,50,78.89,job
221,6.84,8.91,5.72,6.23,6.92,1,1,49.08,49.95,high,14,no,44,37,74,70,66.92,none
222,7.93,6.07,8.04,6.77,7.2,0,0,90.78,82.73,high,5,yes,54,97,54,60,92.22,higher study
223,8.08,4.31,7.41,6.28,6.52,0,0,74.67,36.67,high,12,yes,59,55,78,100,81.51,none
224,7.54,5.96,5.02,6.95,6.37,0,1,87.76,75.3,low,10,no,51,57,46,80,91.76,higher study
225,6.92,8.41,7.16,8.63,7.78,0,0,76.66,56.51,low,10,yes,74,80,99,67,65.12,higher study
226,6.64,8.36,7.13,7.04,7.29,3,3,61.41,84.52,low,14,yes,48,39,99,51,92.82,none
227,9.25,6.89,7.92,7.69,7.94,0,0,48.29,90.84,medium,1,yes,56,60,76,68,98.33,job
228,6.1,6.41,7.48,7.3,6.82,2,2,37.7,57.45,high,7,no,74,43,95,51,74.1,higher study
229,4.38,6.44,8.55,7.38,6.69,0,0,68.88,68.22,medium,5,no,39,72,81,67,71.36,none
230,6.91,8.09,8.62,8.91,8.13,1,1,99.35,40.87,medium,10,yes,93,70,59,66,85.87,higher study
231,7.96,7.93,6.51,6.89,7.32,0,0,82.45,60.94,high,8,yes,85,87,94,76,85.44,none
232,8.81,8.35,6.41,9.4,8.24,0,0,54.94,57.18,low,10,no,42,84,95,60,64.5,job
233,8.61,8.81,7.89,7.88,8.3,0,0,88.42,45.28,high,12,no,63,93,47,81,97.07,higher study
234,8.3,5.17,6.9,7.26,6.91,0,0,84.52,92.93,medium,12,yes,77,84,87,55,79.16,job
235,8.37,8.08,6.06,6.18,7.17,0,0,51.88,42.93,low,5,no,95,95,74,67,90.58,job
236,7.99,6.47,8.67,9.68,8.2,0,0,33.97,75.6,low,5,no,76,82,93,76,74.37,job
237,6.78,6.73,6.68,7.47,6.92,0,0,40.93,92.64,medium,11,no,61,84,42,49,70.46,job
238,8.72,8.53,8.79,5.71,7.94,3,3,91.78,94.1,low,1,no,41,61,77,47,64.45,job
239,8.01,6.63,8.15,8.44,7.81,0,0,89.05,86.15,low,4,no,84,69,89,72,70.98,none
240,7.68,6.22,8.29,9.89,8.02,0,0,52.79,44.81,high,8,yes,63,58,36,45,99.74,job
241,3.73,8.11,6.6,6.3,6.18,0,0,52.12,87.77,high,0,yes,44,69,92,88,86.32,none
242,9.84,7.21,6.7,6.21,7.49,0,0,86.12,51.54,medium,3,no,53,93,46,39,92.11,job
243,4.72,8.76,7.56,3.77,6.2,0,0,95.83,94.8,medium,9,no,64,40,63,73,98.34,job
244,6.33,7.95,6.52,4.57,6.34,0,0,85.2,80.51,medium,9,no,67,98,86,46,63.16,higher study
245,7.34,6.27,6.92,6.46,6.75,0,0,73.58,85.62,low,13,no,45,69,84,57,66.59,none
246,5.8,3.61,6.96,8.29,6.16,0,0,49.27,38.71,medium,2,yes,81,63,75,92,97.12,job
247,7.38,8.84,6.48,8.17,7.72,0,0,68.23,72.05,high,0,yes,61,80,59,79,82.58,job
248,9.48,6.78,6.62,7.7,7.64,0,0,48.65,88.02,low,0,no,100,62,92,77,85.39,job
249,9.51,7.01,5.88,7.4,7.45,0,0,87.14,90.73,medium,14,no,96,38,36,44,77.11,none
